Код в 1С, ,Толщина,Наименование,Размер листа,Упаковка,,,Цена,,,,Просчет,,,,Объем,,,,
,кг/м³,мм,-,мм,плит,м² ,м³,руб/упак,руб/лист,руб/м²,,Кв.м.,Кол-во уп,Сумма,,Листов,Итого м³,,,
00-00003694,,"9,5","Habez ГКЛ 9,5мм Обычный 2500х1200 (63 л/паллет)",1200х2500,,3,"0,0285",310 ₽,,,,0,"0,00",0 ₽,,0,0,,,0
00-00003675,,"9,5","Habez ГКЛ 9,5мм Влагостойкий 2500х1200 (63 л/паллет)",1200х2500,,3,"0,0285",345 ₽,,,,0,"0,00",0 ₽,,0,0,,,0
00-00003695,,"12,5","Habez ГКЛ 12,5мм Обычный 2500х1200 (51 л/паллет)",1200х2500,,3,"0,0375",330 ₽,,,,0,"0,00",0 ₽,,0,0,,,0
00-00003676,,"12,5","Habez ГКЛ 12,5мм Влагостойкий 2500х1200 (51 л/паллет)",1200х2500,,3,"0,0375",378 ₽,,,,0,"0,00",0 ₽,,0,0,,,0
,,,,,,,,,,,,,,,,,,,,
,Профиля и комплектующие,,,,,,,,,,,,,,,,,,,
БП-00004473,,"0,5","Профиль потолочный направляющий ППН 28х27 3м (0,5мм)",28х27х3000,,3,"0,0023",117 ₽,,,,0,"0,00",0 ₽,,0,0,,,0
БП-00004474,,"0,5","Профиль потолочный ПП 60х27 3м (0,5мм)",60х27х3000,,3,"0,0049",230 ₽,,,,0,"0,00",0 ₽,,0,0,,,0
БП-00004475,,"0,5","Профиль стеновой направляющий ПН-2 50х40 3м (0,5мм)",50х40х3000,,3,"0,006",265 ₽,,,,0,"0,00",0 ₽,,0,0,,,0
БП-00004476,,"0,5","Профиль стеновой стоечный ПС-2 50х50 3м (0,5мм)",50х50х3000,,3,"0,0075",330 ₽,,,,0,"0,00",0 ₽,,0,0,,,0
НФ-00000290,,"0,9","Подвес прямой 274мм GL (0,9мм)",,,1,,13 ₽,,,,0,"0,00",0 ₽,,0,0,,,0
,,,,,,,,,,,,0,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,,#DIV/0!
,,,,,,,,,,,,,,,,,,,,
00-00004283,,,Подкладочный ковер ANDEREP GL (15м2/рулон) (36 рул/под),,,15,,1 784 ₽,,119 ₽,,0,"0,00",0 ₽,,0,0,,,0
00-00003962,,,"Подкладочный ковер ANDEREP NEXT FIX (33м2) 1,1х30м",1100х30000,,33,,4 502 ₽,,136 ₽,,0,"0,00",0 ₽,,0,0,,,0
00-00001898,,,Подкладочный ковер ANDEREP NEXT SELF (25м2) 1х25м (Самоклеящийся),1000х25000,,25,,5 010 ₽,,200 ₽,,0,"0,00",0 ₽,,0,0,,,0
НФ-00000169,,,Подкладочный ковер ANDEREP PROF 500 (40м2) 1х40м,1000х40000,,40,,6 036 ₽,,151 ₽,,0,"0,00",0 ₽,,0,0,,,0
НФ-00000440,,,"Подкладочный ковер ТЕХНОНИКОЛЬ АЛЬФА ANDEREP (70м2) 1,5х46,67м",1500х46670,,70,,4 018 ₽,,57 ₽,,0,"0,00",0 ₽,,0,0,,,0
НФ-00000431,,,"Геотекстиль ТЕХНОНИКОЛЬ ГЕО 300 (45м2) 1,5х30м",1500х30000,,45,,3 019 ₽,,67 ₽,,0,"0,00",0 ₽,,0,0,,,0
НФ-00000430,,,"Геотекстиль ТЕХНОНИКОЛЬ ГЕО 150 (75м2) 1,5х50м",1500х30000,,75,,2 818 ₽,,38 ₽,,0,"0,00",0 ₽,,0,0,,,0
,,,,,,,,,,,,,,,,,,,,#DIV/0!
НФ-00000136,,,"Мини Рулонная черепица, черная 2,5 м2 (70 рул/поддон)",,,"2,5",,711 ₽,,284 ₽,,0,"0,00",0 ₽,,0,0,,,0
НФ-00000140,,,"Рулонная черепица ТЕХНОНИКОЛЬ, Кирпичная кладка, зеленая 8м2 (25рул/поддон)",,,8,,3 247 ₽,,406 ₽,,0,"0,00",0 ₽,,0,0,,,0
